group,label,memory_score,sd,n,percentage,se,ci_lower,ci_upper
All businesses,drink,0.8309115309641626,0.07227451023121721,13338,8.608215818516248,0.0006258061125744033,0.8296849509835168,0.8321381109448084
All businesses,food,0.7882749209793839,0.08175965784027163,84788,54.72135273806835,0.0002807836852028521,0.7877245849563863,0.7888252570023815
All businesses,inside,0.6687294282054268,0.09972819208823439,42935,27.7098325212172,0.0004812959558002797,0.6677860881320583,0.6696727682787953
All businesses,menu,0.8261441441441442,0.06892039818380968,999,0.6447449094840104,0.002180544900220299,0.8218702761397124,0.8304180121485759
All businesses,outside,0.6909572370974001,0.1027183370728225,12885,8.315854012714189,0.0009049107936750363,0.689183611941797,0.6927308622530032
Restaurants,drink,0.8261828243056295,0.07421027239064132,9397,7.139275512064669,0.0007655426871591472,0.8246823606387976,0.8276832879724614
Restaurants,food,0.7835352000411395,0.08100669821157072,77784,59.09560566462043,0.0002904529518648382,0.7829659122554844,0.7841044878267946
Restaurants,inside,0.659903518490792,0.09671306651497577,33395,25.37151279401933,0.0005292299698374061,0.6588662277499107,0.6609408092316733
Restaurants,menu,0.8277076749435667,0.06824309561575273,886,0.6731295204521971,0.002292671635256885,0.8232140385384632,0.8322013113486701
Restaurants,outside,0.6885422160991931,0.1034309616188728,10162,7.720476508843372,0.001026032144891376,0.6865311930952059,0.6905532391031802
Drinks,drink,0.8317269803837496,0.07100373363929624,9329,13.41375740495773,0.0007351291423301838,0.8302861272647825,0.8331678335027167
Drinks,food,0.7824476224760284,0.08320603063379556,30557,43.93656179904526,0.0004759917738719854,0.7815146785992393,0.7833805663528175
Drinks,inside,0.6627358686257563,0.09901886499598749,23140,33.27198481624202,0.0006509329660077744,0.661460040012381,0.6640116972391316
Drinks,menu,0.8247185185185186,0.07257846404646723,405,0.5823316270777017,0.003606452873565004,0.8176498708863312,0.831787166150706
Drinks,outside,0.6769328102010789,0.100619871947045,6117,8.795364352677288,0.001286514010141346,0.6744112427412018,0.679454377660956
